run,stage,w_err,w_dn,w_smooth,F1,F1_train_minus_rescore,progress,heldout_spread,F_ET,c3,F_err_T,c5,c6,L_mean,L_tail,L_T,dqec_mean,dqec_tail,dnbar_abs_mean,dnbar_abs_tail,eta0_mean,eta0_tail,max_active_fock,max_abs_preimage,oob_max
baseline,stage1,0.0,0.0,0.0,0.9442551937708878,6.328271240363392e-15,0.9163827906563318,4.024276155312201e-06,0.7818439464320812,0.009875573752028558,0.3664540465467756,0.009635399691015747,13940.450529019123,0.2073468357224855,0.4574750366733954,0.4779442613872311,0.42447868396655924,0.29113411914896276,0.06687598775812705,0.11719096377136745,0.15896463356796614,0.6483474760201637,10,60.0,
baseline,final,0.0,0.0,0.0,0.9991021432038502,4.218847493575595e-15,0.9986532148057754,0.00011927352074181385,0.7441650196095314,0.14345033972777246,0.5378675687010551,0.00703008585813998,12596.371030596529,0.24445998982159658,0.4076770466368322,0.3976379162065806,0.3559096778091592,0.0346229876364131,0.05143610004390767,0.004812113269081467,0.13758482749284826,0.44945457527492766,11,60.0,0.0023418634522849647
est_err,stage1,0.3,0.0,0.0,0.9743856320491587,4.773959005888173e-15,0.9615784480737383,1.2980423731434598e-06,0.7387338233912748,0.010467910609218013,0.9321790228274832,0.00033610185626061596,12168.911520875658,0.24625220528863806,0.1978267041319591,0.11754922151075191,0.1378769067807207,0.049030876094294094,0.013951491011970608,0.014900979338227956,0.22169749598793337,0.07734261738675079,9,60.0,
est_err,final,0.3,0.0,0.0,0.9994985560969861,-3.3306690738754696e-15,0.9992478341454794,1.57391726096634e-07,0.7495892004646804,0.11561596230711069,0.9963081469532288,0.0007517566602721111,11058.767784779122,0.23066027736369663,0.047935433694784646,0.00489421851258635,0.21731131816282517,0.0036128249202704854,0.02014643135617207,0.006585086558085906,0.22128409625634132,0.045497739466957024,9,60.0,0.00432694706176959
est_dn,stage1,0.0,30.0,0.0,0.9695164916562539,4.9960036108132044e-15,0.954274737484381,5.8714552111927e-05,0.7071507131786877,0.00818237528400078,0.32582835578379954,0.00011685625927009215,11015.013161619347,0.281017125671753,0.5119962437917176,0.5614306769139864,0.17408381797067113,0.02142832173244907,0.007594137072988281,0.005532556965327537,0.19695109254353146,0.3034303691810707,10,60.0,
est_dn,final,0.0,30.0,0.0,0.9990910634626949,-7.105427357601002e-15,0.9986365951940426,0.0002356675373106354,0.7177200682261772,0.10624370746762517,0.3368632100008264,1.0715009040756413e-05,11450.986636736314,0.2688804123038291,0.566015536528061,0.5886121856352466,0.18059996367624603,0.026557850049088,0.002245584298699393,0.0012048980802811192,0.17379498867289805,0.6787183622376638,13,60.0,0.0020943492601459986
est_err_dn,stage1,0.3,30.0,0.0,0.971755508452888,-4.218847493575595e-15,0.9576332626793322,5.228872274321006e-05,0.7005392125738568,0.010289459734783414,0.8433098934166262,0.00010055587154933304,16936.61384528529,0.28875993594057375,0.29644215664741164,0.2034091756382852,0.23368579408440202,0.03863439001289794,0.006793792873779082,0.007108062699206189,0.18888056119963909,0.461204176417735,9,60.0,
est_err_dn,final,0.3,30.0,0.0,0.9970826497131728,-7.882583474838611e-15,0.9956239745697593,3.1685011512738726e-05,0.6017774030768078,0.08291326935119737,0.9817687220100666,4.325430619049687e-05,12821.761707604344,0.3788787641255871,0.13720104639214029,0.021917666334774395,0.2754942426545898,0.003020311286112929,0.004966854118414698,0.0046263763472665686,0.299207460850235,0.13114547871119075,11,60.0,0.004188981117177953
est_all,stage1,0.3,30.0,5e-06,0.9753879781516764,-2.886579864025407e-15,0.9630819672275148,3.1189142868370823e-06,0.6884047074790679,0.011965614747147362,0.8829624188539071,0.00015154079759652263,5411.295849054331,0.27438800237366134,0.208684192617529,0.1596278139986916,0.2266881075765759,0.031901538424375084,0.008391390099613007,0.009940287954901567,0.3513537138224544,0.1687366564384904,9,60.0,
est_all,final,0.3,30.0,5e-06,0.9977370514225434,4.107825191113079e-15,0.9966055771338151,4.341192250434389e-05,0.613628030600508,0.15087717283946758,0.9819699186707539,2.9643635874843364e-05,2394.570276022094,0.31174647902243696,0.0930234667598236,0.027748339317443176,0.24837368965763149,0.004141519665242995,0.0043416279264142325,0.004164259007561872,0.5343057292951751,0.01796810458281117,9,60.0,0.0002139890524587996
