n_c,trained,F_pedersen,L1,method
18,False,0.9963681775823142,0.0036276687337660762,main
20,False,0.9974011765260329,0.002594700159940455,main
22,True,0.9976282655322977,0.0023676555372300623,main
24,True,0.9976475968698919,0.002348340526224346,main
26,True,0.9976495764366561,0.0023463653072530732,main
28,False,0.9976500043636113,0.002345937542547638,main
30,False,0.9976502294123133,0.0023457124537504814,main
32,False,0.9976503280458345,0.002345613837491989,main
18,False,0.9954307391363075,0.004563843145779067,coh_fresh
20,False,0.9959724434817888,0.004022506801066972,coh_fresh
22,True,0.9959070098499438,0.0040881399938252905,coh_fresh
24,True,0.9959217518856387,0.004073353518451617,coh_fresh
26,True,0.9959169056277961,0.004078202021633226,coh_fresh
28,False,0.9959152825812891,0.00407982702243237,coh_fresh
30,False,0.9959155078864276,0.004079602611628541,coh_fresh
32,False,0.9959156029902084,0.004079507580531994,coh_fresh
18,False,0.3329461564711352,0.0011615305866310432,pedersen
20,False,0.3329461496466666,0.0011615510600369028,pedersen
22,True,0.33294614949349377,0.001161551519555326,pedersen
24,True,0.33294614949317364,0.001161551520515669,pedersen
26,True,0.33294614949318696,0.001161551520475701,pedersen
28,False,0.3329461494931735,0.001161551520516002,pedersen
30,False,0.3329461494931543,0.0011615515205737337,pedersen
32,False,0.3329461494931704,0.001161551520525439,pedersen
18,False,0.9952600209802771,0.004738050677066008,pedersen_warm
20,False,0.9980031626286703,0.0019951615102027365,pedersen_warm
22,True,0.9981001821499067,0.0018981111714870824,pedersen_warm
24,True,0.9981650665531195,0.0018333238095311621,pedersen_warm
26,True,0.9981594630567677,0.0018389367315111427,pedersen_warm
28,False,0.9981532197096934,0.0018451804068322364,pedersen_warm
30,False,0.9981529199371332,0.0018454798993479127,pedersen_warm
32,False,0.9981530338345427,0.0018453659999039251,pedersen_warm
