gate,label,swept,multiplier,is_baseline,seed,maxiter,lambda_deriv,lambda_boundary,lambda_amp,lambda_disc,amp_max,F_coh_train,iterations,converged,train_time_s,F_ped_heldout_mean,F_ped_heldout_min,F_ped_heldout_std,robustness_spread,F_ped_trained_mean,leakage_L1_mean,leakage_L1_max,overfit_gap,peak_amp,roughness,bandwidth_MHz,bandwidth_cav_MHz,bandwidth_tra_MHz,config_hash,reused_pulse,cached,occ99_MHz,occ99_cav_MHz,occ99_tra_MHz,sigma_f_MHz,sigma_f_cav_MHz,sigma_f_tra_MHz,centroid_cav_MHz,centroid_tra_MHz,n_bar_drive,occ99_frac,occ99_frac_cav,occ99_frac_tra,binding_drive,occ99_cav_lo_MHz,occ99_cav_hi_MHz,occ99_tra_lo_MHz,occ99_tra_hi_MHz,band_limit_cav_MHz,band_limit_tra_MHz,F_ped_heldout_mean@500,F_ped_heldout_min@500,robustness_spread@500,occ99_frac@500,F_ped_heldout_mean@1000,F_ped_heldout_min@1000,robustness_spread@1000,occ99_frac@1000
X,deriv=0_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.0,False,42,1500,0.0,2e-05,8e-05,0.5,40.0,0.9998651012892554,1500,False,830.3429620265961,0.9993430463962978,0.9955709757619413,0.0012799144422263396,0.004294321741723173,0.9998579816912451,0.0006567663636546483,0.0044273254893978375,0.000514935294947283,35.22514644058058,3.162515497176975,16.90402263763918,9.85752469574979,16.90402263763918,651a62fe533443d4,False,True,61.81818181818181,42.72727272727272,61.81818181818181,11.852052483930537,9.85718323711639,11.852052483930537,0.08204728654026372,-12.053001006055458,5.49361941935071,0.9366391184573002,0.7912457912457911,0.9366391184573002,tra,-24.545454545454543,18.18181818181818,-32.72727272727273,29.09090909090909,54.0,66.0,,,,,,,,
X,deriv=0_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.0,False,43,1500,0.0,2e-05,8e-05,0.5,40.0,0.9998855694372524,1500,False,1256.643532037735,0.9997371555468517,0.9986041705726798,0.00038111897791739675,0.0012816212022155327,0.999882653476572,0.0002627713272979171,0.001395586366810031,0.00014549792972029518,34.502346867099675,2.3616474228318878,14.220084896837822,8.852724918577035,14.220084896837822,3e9fd1fb1859fd3f,False,True,42.72727272727273,42.72727272727273,39.09090909090909,9.530730234734175,8.38422579135452,9.530730234734175,-2.8417417834103844,-10.553482632098229,4.810156167774945,0.7912457912457912,0.7912457912457912,0.5922865013774105,cav,-25.454545454545453,17.272727272727273,-32.72727272727273,6.363636363636363,54.0,66.0,0.9993626707805436,0.9991025115025937,0.0002931872995022289,0.6734006734006733,0.9997298512367451,0.9992324225480503,0.00056550713810255,0.7744107744107743
X,deriv=0_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.0,False,44,1500,0.0,2e-05,8e-05,0.5,40.0,0.9998835192821214,1500,False,1244.724548816681,0.9996588845067069,0.9978939869365163,0.0005925529385142919,0.0019896012507288896,0.999882481844546,0.0003409652848145095,0.0021050481516624586,0.00022359733783905433,38.63469426061738,2.3992338022048476,15.800582453344594,8.655331052938159,15.800582453344594,dd08f27c53f475c9,False,True,63.63636363636363,41.81818181818181,63.63636363636363,12.62571260053881,8.57796374218712,12.62571260053881,-1.1546833651173518,-9.499988799653217,4.3299857792403,0.9641873278236914,0.7744107744107743,0.9641873278236914,tra,-24.545454545454543,17.272727272727273,-32.72727272727273,30.909090909090907,54.0,66.0,0.9991082265198576,0.9973812140205128,0.001953155895584202,0.7713498622589531,0.9996072938351824,0.9981020679626708,0.001691981025297551,0.9641873278236914
X,deriv=1e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.1,False,42,1500,1.0000000000000002e-06,2e-05,8e-05,0.5,40.0,0.999245179936189,1500,False,820.61585521698,0.9987157090127454,0.9948347984036015,0.0013143838915198127,0.004409712056315573,0.9992435354277549,0.0012829251982886757,0.005160435958698972,0.0005278264150094802,20.801263008437136,1.9715624059889805,14.809578627438873,6.891228945021688,14.809578627438873,1579adc6fd43f79e,False,True,40.0,27.272727272727273,40.0,9.963567504996714,6.89111325832,9.963567504996714,-0.03993036076784717,-10.956776063042806,4.993972681423339,0.6060606060606061,0.5050505050505051,0.6060606060606061,tra,-13.636363636363637,13.636363636363637,-31.818181818181817,8.181818181818182,54.0,66.0,,,,,,,,
X,deriv=1e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.1,False,43,1500,1.0000000000000002e-06,2e-05,8e-05,0.5,40.0,0.9996761049574793,1500,False,1244.7328770160675,0.9995964172398539,0.9988729937157782,0.0002414444377860665,0.0008331350959478456,0.999678420057229,0.00040351800170298493,0.0011264272379492013,8.200281737502646e-05,21.82279204165299,1.4937273533826578,10.631699757250384,5.988375886960397,10.631699757250384,2da3d59eae9a0a9b,False,True,34.54545454545455,23.636363636363633,34.54545454545455,7.619433982340804,4.877089804214877,7.619433982340804,-3.4748583863449767,-7.414665570143271,3.3795194029823477,0.5234159779614326,0.43771043771043766,0.5234159779614326,tra,-12.727272727272727,10.909090909090908,-29.09090909090909,5.454545454545454,54.0,66.0,0.9992686516007872,0.9987053130874117,0.0006398331487487141,0.5647382920110193,0.9995688371166775,0.998876257665576,0.0007939789507280803,0.5234159779614326
X,deriv=1e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.1,False,44,1500,1.0000000000000002e-06,2e-05,8e-05,0.5,40.0,0.9995254423041371,1500,False,1263.8368780612946,0.9993956062140124,0.9984309490690944,0.00032585246283479063,0.0010945713462122697,0.9995242157730146,0.0006042471361951352,0.0015686639273648773,0.00012860955900229065,22.6137928883045,1.6283098134764011,12.686901179693605,5.678418733617284,12.686901179693605,138b29c20d64f0e6,False,True,41.81818181818181,24.545454545454547,41.81818181818181,9.543928468678887,5.500022481008987,9.543928468678887,-1.4121586393502206,-8.358880961471556,3.8098819332140184,0.6336088154269972,0.4545454545454546,0.6336088154269972,tra,-12.727272727272727,11.818181818181818,-31.818181818181817,10.0,54.0,66.0,0.9989102361531048,0.9965425341388565,0.0026960572359714385,0.7300275482093663,0.9993670523786502,0.9986028560559627,0.0008719315195788724,0.6473829201101928
X,deriv=3e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.3,False,42,1500,3e-06,2e-05,8e-05,0.5,40.0,0.9983479398153347,1500,False,819.1949801445007,0.9978709371653164,0.9941099969106936,0.0012605712656353198,0.004239043454270064,0.998345482316836,0.0021265701286868554,0.005885269355576428,0.00047454515151956755,21.514973628905267,1.7419121957911623,11.975877467182132,6.463148988113159,11.975877467182132,5edaacb89c8ea4a1,False,True,40.0,28.18181818181818,40.0,9.561379767716813,6.450104622849094,9.561379767716813,0.4104207558699948,-7.211217514848398,3.286790116156973,0.6060606060606061,0.5218855218855218,0.6060606060606061,tra,-13.636363636363637,14.545454545454545,-31.818181818181817,8.181818181818182,54.0,66.0,,,,,,,,
X,deriv=3e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.3,False,43,1500,3e-06,2e-05,8e-05,0.5,40.0,0.9992952330126583,1500,False,1278.2986149787903,0.9992499980859829,0.9987279979183826,0.00017549830518715832,0.0006354622386082198,0.9992981047157433,0.0007496177972557306,0.0012714700072405938,4.81066297604027e-05,19.35310435333529,1.3071908359459998,9.496178603012124,5.379334152992133,9.496178603012124,287354ad2963eb5c,False,True,31.818181818181817,22.727272727272727,31.818181818181817,6.911058871148268,4.942997686236286,6.911058871148268,-2.122265252839596,-6.512654861101433,2.9683932821793224,0.4820936639118457,0.42087542087542085,0.4820936639118457,tra,-11.818181818181818,10.909090909090908,-26.363636363636363,5.454545454545454,54.0,66.0,0.9990276793858974,0.9985047774565293,0.0006036397462235721,0.6060606060606061,0.9992298176684485,0.9986148433923239,0.0007110225877028364,0.5096418732782368
X,deriv=3e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.3,False,44,1500,3e-06,2e-05,8e-05,0.5,40.0,0.9992530818169391,1500,False,1259.3867299556732,0.9991583532996225,0.998413608647967,0.0002501364414673092,0.0008396000415005211,0.9992528661224195,0.000841360581588213,0.0015857810458361765,9.451282279693274e-05,18.298173470351863,1.4385349400859553,11.9481354320822,5.490699631504453,11.9481354320822,20297f83e0100fa8,False,True,36.36363636363636,21.818181818181817,36.36363636363636,8.54217260979382,5.49018674173562,8.54217260979382,-0.07504654737937466,-8.353994697620196,3.8076548302735627,0.5509641873278236,0.40404040404040403,0.5509641873278236,tra,-12.727272727272727,9.09090909090909,-27.272727272727273,9.09090909090909,54.0,66.0,0.9984489801627342,0.9971317992712129,0.0015042262532867223,0.6336088154269972,0.9990981180915723,0.9982215341880298,0.0009906798200480793,0.5509641873278236
X,deriv=1e-05_boundary=2e-05_amp=8e-05_disc=0.5,deriv,1.0,True,42,1500,1e-05,2e-05,8e-05,0.5,40.0,0.9976319075168323,1500,False,838.8641619682312,0.9962426499853381,0.9871933113419278,0.0031455417997198576,0.010436249813108311,0.9976494778427996,0.003752064831708879,0.012786439440454878,0.00140682785746149,18.908989048700192,1.2265381001148832,8.755535573212303,5.128991835043168,8.755535573212303,024ea7f9987444a0,False,True,33.63636363636363,25.454545454545453,33.63636363636363,7.530349411784247,5.121628864970521,7.530349411784247,-0.27472716181742873,-4.466905070653141,2.0359640249102737,0.5096418732782368,0.47138047138047134,0.5096418732782368,tra,-13.636363636363637,11.818181818181818,-25.454545454545453,8.181818181818182,54.0,66.0,,,,,,,,
