gate,label,swept,multiplier,is_baseline,seed,maxiter,lambda_deriv,lambda_boundary,lambda_amp,lambda_disc,amp_max,F_coh_train,iterations,converged,train_time_s,F_ped_heldout_mean,F_ped_heldout_min,F_ped_heldout_std,robustness_spread,F_ped_trained_mean,leakage_L1_mean,leakage_L1_max,overfit_gap,peak_amp,roughness,bandwidth_MHz,bandwidth_cav_MHz,bandwidth_tra_MHz,config_hash,reused_pulse,cached,occ99_MHz,occ99_cav_MHz,occ99_tra_MHz,sigma_f_MHz,sigma_f_cav_MHz,sigma_f_tra_MHz,centroid_cav_MHz,centroid_tra_MHz,n_bar_drive,occ99_frac,occ99_frac_cav,occ99_frac_tra,binding_drive,occ99_cav_lo_MHz,occ99_cav_hi_MHz,occ99_tra_lo_MHz,occ99_tra_hi_MHz,band_limit_cav_MHz,band_limit_tra_MHz,F_ped_heldout_mean@500,F_ped_heldout_min@500,robustness_spread@500,occ99_frac@500,F_ped_heldout_mean@1000,F_ped_heldout_min@1000,robustness_spread@1000,occ99_frac@1000
X,deriv=0_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.0,False,42,1500,0.0,2e-05,8e-05,0.5,40.0,0.9998651012892554,1500,False,830.3429620265961,0.9993430463962978,0.9955709757619413,0.0012799144422263396,0.004294321741723173,0.9998579816912451,0.0006567663636546483,0.0044273254893978375,0.000514935294947283,35.22514644058058,3.162515497176975,16.90402263763918,9.85752469574979,16.90402263763918,651a62fe533443d4,False,True,61.81818181818181,42.72727272727272,61.81818181818181,11.852052483930537,9.85718323711639,11.852052483930537,0.08204728654026372,-12.053001006055458,5.49361941935071,0.9366391184573002,0.7912457912457911,0.9366391184573002,tra,-24.545454545454543,18.18181818181818,-32.72727272727273,29.09090909090909,54.0,66.0,,,,,,,,
X,deriv=0_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.0,False,43,1500,0.0,2e-05,8e-05,0.5,40.0,0.9998855694372524,1500,False,1256.643532037735,0.9997371555468517,0.9986041705726798,0.00038111897791739675,0.0012816212022155327,0.999882653476572,0.0002627713272979171,0.001395586366810031,0.00014549792972029518,34.502346867099675,2.3616474228318878,14.220084896837822,8.852724918577035,14.220084896837822,3e9fd1fb1859fd3f,False,False,42.72727272727273,42.72727272727273,39.09090909090909,9.530730234734175,8.38422579135452,9.530730234734175,-2.8417417834103844,-10.553482632098229,4.810156167774945,0.7912457912457912,0.7912457912457912,0.5922865013774105,cav,-25.454545454545453,17.272727272727273,-32.72727272727273,6.363636363636363,54.0,66.0,0.9993626707805436,0.9991025115025937,0.0002931872995022289,0.6734006734006733,0.9997298512367451,0.9992324225480503,0.00056550713810255,0.7744107744107743
X,deriv=1e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.1,False,44,1500,1.0000000000000002e-06,2e-05,8e-05,0.5,40.0,0.9995254423041371,1500,False,1263.8368780612946,0.9993956062140124,0.9984309490690944,0.00032585246283479063,0.0010945713462122697,0.9995242157730146,0.0006042471361951352,0.0015686639273648773,0.00012860955900229065,22.6137928883045,1.6283098134764011,12.686901179693605,5.678418733617284,12.686901179693605,138b29c20d64f0e6,False,False,41.81818181818181,24.545454545454547,41.81818181818181,9.543928468678887,5.500022481008987,9.543928468678887,-1.4121586393502206,-8.358880961471556,3.8098819332140184,0.6336088154269972,0.4545454545454546,0.6336088154269972,tra,-12.727272727272727,11.818181818181818,-31.818181818181817,10.0,54.0,66.0,0.9989102361531048,0.9965425341388565,0.0026960572359714385,0.7300275482093663,0.9993670523786502,0.9986028560559627,0.0008719315195788724,0.6473829201101928
X,deriv=1e-05_boundary=2e-05_amp=8e-05_disc=0.5,deriv,1.0,True,42,1500,1e-05,2e-05,8e-05,0.5,40.0,0.9976319075168323,1500,False,838.8641619682312,0.9962426499853381,0.9871933113419278,0.0031455417997198576,0.010436249813108311,0.9976494778427996,0.003752064831708879,0.012786439440454878,0.00140682785746149,18.908989048700192,1.2265381001148832,8.755535573212303,5.128991835043168,8.755535573212303,024ea7f9987444a0,False,True,33.63636363636363,25.454545454545453,33.63636363636363,7.530349411784247,5.121628864970521,7.530349411784247,-0.27472716181742873,-4.466905070653141,2.0359640249102737,0.5096418732782368,0.47138047138047134,0.5096418732782368,tra,-13.636363636363637,11.818181818181818,-25.454545454545453,8.181818181818182,54.0,66.0,,,,,,,,
X,deriv=1e-05_boundary=2e-05_amp=8e-05_disc=0.5,deriv,1.0,True,43,1500,1e-05,2e-05,8e-05,0.5,40.0,0.9984429223059523,1500,False,1317.3154768943787,0.9984399727205625,0.9982213207280678,8.369212986520965e-05,0.0003594322114917059,0.9984461685860154,0.0015573426443221238,0.0017756013385632485,6.19586545291817e-06,18.423560868091226,1.2029635592590484,8.887726781162538,5.372446784029143,8.887726781162538,9cb4767f27a980ac,False,False,30.909090909090907,21.818181818181817,30.909090909090907,6.505551698609346,5.056787767907048,6.505551698609346,-1.8144095231150916,-6.055533373148467,2.7600425584085997,0.4683195592286501,0.40404040404040403,0.4683195592286501,tra,-9.09090909090909,12.727272727272727,-25.454545454545453,5.454545454545454,54.0,66.0,0.9980445241079334,0.9973552951011233,0.0008555199530632107,0.4882154882154882,0.9984399727205625,0.9982213207280678,0.0003594322114917059,0.4683195592286501
X,deriv=3e-05_boundary=2e-05_amp=8e-05_disc=0.5,deriv,3.0,False,44,1500,3.0000000000000004e-05,2e-05,8e-05,0.5,40.0,0.9961787819964436,1500,False,1246.603965997696,0.9959453433556608,0.9941431168852436,0.0006062649601356909,0.0020391588256204463,0.9961795048279855,0.004047346323033707,0.00584590219152803,0.00023416147232468987,15.431343014436893,0.900062375819238,8.973084944263595,4.267652225968951,8.973084944263595,c9cab65ee4906324,False,False,26.363636363636363,17.272727272727273,26.363636363636363,6.456044469978347,4.100120024766568,6.456044469978347,1.184006462957843,-6.231833054457733,2.8403979281940446,0.39944903581267216,0.31986531986531985,0.39944903581267216,tra,-10.0,7.2727272727272725,-20.90909090909091,5.454545454545454,54.0,66.0,0.9947189845396857,0.9931328042287727,0.0018000980914760767,0.42699724517906334,0.9959453433556608,0.9941431168852436,0.0020391588256204463,0.39944903581267216
X,deriv=1e-05_boundary=0_amp=8e-05_disc=0.5,boundary,0.0,False,42,1500,1e-05,0.0,8e-05,0.5,40.0,0.9979128264656533,1500,False,878.9610631465912,0.996971213250087,0.9901346978048476,0.002322415043079527,0.007781321583532175,0.9979091635048527,0.003022938443578038,0.009844850841303265,0.0009379502547657292,21.395137016684693,1.2024537574955618,8.708887734355244,4.8810921671825,8.708887734355244,091823e947b37f98,False,True,32.72727272727273,20.909090909090907,32.72727272727273,7.535499965018729,4.86350967111726,7.535499965018729,0.4139256255406716,-4.3658866048955,1.9899209685029624,0.49586776859504134,0.38720538720538716,0.49586776859504134,tra,-11.818181818181818,9.09090909090909,-28.18181818181818,4.545454545454545,54.0,66.0,,,,,,,,
X,deriv=1e-05_boundary=0_amp=8e-05_disc=0.5,boundary,0.0,False,43,1500,1e-05,0.0,8e-05,0.5,40.0,0.998514083458364,1500,False,1250.8743360042572,0.9983681647499008,0.9970341967269004,0.0004450471156451782,0.0015296080148385904,0.9985191752110777,0.0016307598448695004,0.0029648755832076823,0.00015101046117693695,19.01700562791309,1.1095938841070387,8.337107982045557,4.9463312621933495,8.337107982045557,4614886200ae2837,False,False,28.18181818181818,18.18181818181818,28.18181818181818,6.451106899290254,4.774680940654042,6.451106899290254,-1.2917487643912369,-5.2811541615651985,2.407089408188331,0.42699724517906334,0.33670033670033667,0.42699724517906334,tra,-9.09090909090909,9.09090909090909,-23.636363636363637,4.545454545454545,54.0,66.0,0.9975517991229592,0.9970584235750065,0.0005855900880590292,0.42699724517906334,0.9982423238899163,0.9971201756064662,0.0012946761876677648,0.42699724517906334
X,deriv=1e-05_boundary=2e-06_amp=8e-05_disc=0.5,boundary,0.1,False,44,1500,1e-05,2.0000000000000003e-06,8e-05,0.5,40.0,0.9977369288495854,1500,False,1226.3746750354767,0.997151305500003,0.9931794947194265,0.0013647754019623479,0.0045599183427542656,0.9977276004670173,0.0028442770529207182,0.006815446383450663,0.0005762949670142792,17.392958452545862,1.0851700988997068,9.278197228927633,4.7453125533904,9.278197228927633,ea1a4fe37b5762cf,False,False,32.72727272727273,18.18181818181818,32.72727272727273,6.7722915422353225,4.666995306397307,6.7722915422353225,0.8585720933212484,-6.342003712222843,2.8906124485974676,0.49586776859504134,0.33670033670033667,0.49586776859504134,tra,-10.0,8.181818181818182,-27.272727272727273,5.454545454545454,54.0,66.0,0.9969310962565011,0.9956296034574627,0.0014709185968013738,0.45454545454545453,0.9972604175403761,0.995812039942689,0.0016400091592365662,0.45454545454545453
X,deriv=1e-05_boundary=6e-05_amp=8e-05_disc=0.5,boundary,3.0,False,42,1500,1e-05,6.000000000000001e-05,8e-05,0.5,40.0,0.997874539021063,1500,False,846.7018859386444,0.9954954381593065,0.9811100503582585,0.005095087444652257,0.01675941464601327,0.997879866000689,0.004495347082506329,0.0188573736803771,0.002384427841382486,21.40731122549444,1.2295136428222473,8.611948658622861,5.192053118802655,8.611948658622861,917230eacfe43287,False,True,32.72727272727273,25.454545454545453,32.72727272727273,7.459637306226581,5.175543124791172,7.459637306226581,-0.41372569644053625,-4.3034254911998575,1.9614519103007555,0.49586776859504134,0.47138047138047134,0.49586776859504134,tra,-14.545454545454545,10.909090909090908,-25.454545454545453,7.2727272727272725,54.0,66.0,,,,,,,,
