gate,label,swept,multiplier,is_baseline,seed,maxiter,protocol,phase1_maxiter,phase2_maxiter,phase1_F_coh_train,lambda_deriv,lambda_boundary,lambda_amp,lambda_disc,amp_max,F_coh_train,iterations,converged,train_time_s,F_ped_heldout_mean,F_ped_heldout_min,F_ped_heldout_std,robustness_spread,F_ped_trained_mean,leakage_L1_mean,leakage_L1_max,overfit_gap,peak_amp,roughness,bandwidth_MHz,bandwidth_cav_MHz,bandwidth_tra_MHz,occ99_frac,occ99_frac_cav,occ99_frac_tra,binding_drive,occ99_MHz,occ99_cav_MHz,occ99_tra_MHz,occ99_cav_lo_MHz,occ99_cav_hi_MHz,occ99_tra_lo_MHz,occ99_tra_hi_MHz,band_limit_cav_MHz,band_limit_tra_MHz,sigma_f_MHz,sigma_f_cav_MHz,sigma_f_tra_MHz,centroid_cav_MHz,centroid_tra_MHz,n_bar_drive,config_hash,reused_pulse,cached
X,deriv=0_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.0,False,45,2500,two_phase,1000,1500,0.9998187838969713,0.0,2e-05,8e-05,0.5,40.0,0.9999267321578589,1500,False,1665.3311579227448,0.9998762089387099,0.9994156565113598,0.00014694559528626163,0.0005288794213452741,0.9999234057601376,0.00012377657077254002,0.0005842727859751706,4.719682142773074e-05,45.71075637583555,3.48694060570281,18.420459110085822,9.953452283923562,18.420459110085822,0.9504132231404958,0.8417508417508417,0.9504132231404958,tra,62.72727272727273,45.45454545454545,62.72727272727273,-23.636363636363637,21.818181818181817,-32.72727272727273,30.0,54.0,66.0,13.87460827498369,9.854381418260662,13.87460827498369,-1.4008494679237296,-12.11645818884784,5.522542474406491,a9d8e41798f2f0a9,False,False
X,deriv=1e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.1,False,44,2500,two_phase,1000,1500,0.9994600071838354,1.0000000000000002e-06,2e-05,8e-05,0.5,40.0,0.9996314638823919,1500,False,7856.461423873901,0.9992777469517904,0.9965746847908966,0.000877168439778708,0.0030569291089458384,0.9996240490246326,0.0007220206291942119,0.003423852357613333,0.0003463020728422528,23.5843350601617,1.5794075732257093,12.223299085467614,5.284992712147894,12.223299085467614,0.6198347107438016,0.4545454545454546,0.6198347107438016,tra,40.90909090909091,24.545454545454547,40.90909090909091,-12.727272727272727,11.818181818181818,-30.909090909090907,10.0,54.0,66.0,9.334232567658617,5.239931721692491,9.334232567658617,-0.6886679311955213,-7.891840273703888,3.5970101520983992,40b99806fa04af5f,False,False
X,deriv=3e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.3,False,43,2500,two_phase,1000,1500,0.9992859855295322,3e-06,2e-05,8e-05,0.5,40.0,0.9993202928024617,1500,False,1675.0293951034546,0.9992496632770593,0.9985176335606178,0.00023166331029412013,0.0008330088072804331,0.9993234796886113,0.0007500557290731624,0.001481829185687511,7.381641155201901e-05,19.017356213413933,1.307400283187013,9.424658962135053,5.3281743609496495,9.424658962135053,0.4683195592286501,0.42087542087542085,0.4683195592286501,tra,30.909090909090907,22.727272727272727,30.909090909090907,-11.818181818181818,10.909090909090908,-25.454545454545453,5.454545454545454,54.0,66.0,6.87717596941756,4.962914713833651,6.87717596941756,-1.9387933267614295,-6.444272436685016,2.9372253585619945,970bea51059776ff,False,False
X,deriv=1e-05_boundary=2e-05_amp=8e-05_disc=0.5,deriv,1.0,True,42,2500,two_phase,1000,1500,0.9970652994419589,1e-05,2e-05,8e-05,0.5,40.0,0.9986274113460765,1500,False,1695.3478090763092,0.9971506566654917,0.9865942516051541,0.0034773820700693863,0.012033009769900627,0.9985792010709522,0.002846430346246078,0.013384102828285283,0.0014285444054604746,21.31853875717447,1.1502198716218759,8.021663715216432,4.666455205592669,8.021663715216432,0.44077134986225897,0.37037037037037035,0.44077134986225897,tra,29.09090909090909,20.0,29.09090909090909,-11.818181818181818,8.181818181818182,-22.727272727272727,6.363636363636363,54.0,66.0,7.008472701157826,4.664491368183042,7.008472701157826,0.13536787635483005,-3.9023581533664253,1.7786500243238037,cd642d326b146f45,False,False
X,deriv=1e-05_boundary=2e-05_amp=8e-05_disc=0.5,deriv,1.0,True,46,2500,two_phase,1000,1500,0.9978278394945546,1e-05,2e-05,8e-05,0.5,40.0,0.998757374131986,1500,False,1690.832627773285,0.9984635504302596,0.9962186049465925,0.0007323408471598167,0.002541128842924789,0.9987549883979174,0.00153232397651748,0.0037797213823227427,0.00029143796765784824,19.208548089784614,1.1325513323607441,7.898113403747849,4.319631477447842,7.898113403747849,0.42699724517906334,0.30303030303030304,0.42699724517906334,tra,28.18181818181818,16.363636363636363,28.18181818181818,-9.09090909090909,7.2727272727272725,-23.636363636363637,4.545454545454545,54.0,66.0,6.578208452770425,3.859286634256971,6.578208452770425,1.9403924282484017,-4.371197649427575,1.9923416815987125,2160a749e4cd6d67,False,False
X,deriv=3e-05_boundary=2e-05_amp=8e-05_disc=0.5,deriv,3.0,False,45,2500,two_phase,1000,1500,0.9934798338864052,3.0000000000000004e-05,2e-05,8e-05,0.5,40.0,0.9934798428153888,1212,True,1502.050153017044,0.9935156082124478,0.9934076334329701,0.0001319288296553734,0.0005197297745337393,0.9934788040726885,0.006479932791189706,0.006587543521200612,-3.680413975926111e-05,16.115887829952758,1.1945037340548992,9.532738064162064,4.800467810355219,9.532738064162064,0.44077134986225897,0.37037037037037035,0.44077134986225897,tra,29.09090909090909,20.0,29.09090909090909,-10.0,10.0,-22.727272727272727,6.363636363636363,54.0,66.0,6.181932547111167,4.692344645947875,6.181932547111167,1.0131105181079423,-7.256500877343841,3.307429752663556,111247d06805e6f0,False,False
X,deriv=0.0001_boundary=2e-05_amp=8e-05_disc=0.5,deriv,10.0,False,44,2500,two_phase,1000,1500,0.9894105735991917,0.0001,2e-05,8e-05,0.5,40.0,0.9907481963962328,1500,False,1755.3642370700836,0.989458007976133,0.9788587901578758,0.0034055187067555605,0.01189577961158328,0.9907220287328273,0.010524125216229,0.02106250474170812,0.0012640207566942951,19.953887969127482,0.635755802876916,5.714542110864868,3.065138482960136,5.714542110864868,0.3443526170798898,0.20202020202020202,0.3443526170798898,tra,22.727272727272727,10.909090909090908,22.727272727272727,-6.363636363636363,4.545454545454545,-18.18181818181818,4.545454545454545,54.0,66.0,4.603712413608028,2.2341825140986336,4.603712413608028,2.0984523853113926,-3.3855315017939587,1.5430863727410933,1c2ad0f02b28b029,False,False
X,deriv=1e-05_boundary=0_amp=8e-05_disc=0.5,boundary,0.0,False,43,2500,two_phase,1000,1500,0.9984145580608323,1e-05,0.0,8e-05,0.5,40.0,0.9985117727305708,1500,False,1914.984050989151,0.9984057928031476,0.9972845932480818,0.00035481955192149606,0.0012760884176451492,0.9985177978358744,0.0015930658120160853,0.002714650366400728,0.00011200503272679185,19.18132355458594,1.1091397923572615,8.348448749963621,4.936063720720763,8.348448749963621,0.42699724517906334,0.33670033670033667,0.42699724517906334,tra,28.18181818181818,18.18181818181818,28.18181818181818,-10.0,8.181818181818182,-23.636363636363637,4.545454545454545,54.0,66.0,6.42765189853075,4.774622757043716,6.42765189853075,-1.2520793037727154,-5.3274654013032485,2.4281975393360296,fc68ac730f2f7405,False,False
X,deriv=1e-05_boundary=2e-06_amp=8e-05_disc=0.5,boundary,0.1,False,42,2500,two_phase,1000,1500,0.9969624060931722,1e-05,2.0000000000000003e-06,8e-05,0.5,40.0,0.9986384957093464,1500,False,3967.1565828323364,0.9969902041637855,0.9852311885235373,0.0038735789169453264,0.013406540783036047,0.9985661623713624,0.00300662207723496,0.014738235736467598,0.001575958207576944,21.306983091993857,1.143540879142994,8.082354357432932,4.502873470624309,8.082354357432932,0.44077134986225897,0.33670033670033667,0.44077134986225897,tra,29.09090909090909,18.18181818181818,29.09090909090909,-10.0,8.181818181818182,-23.636363636363637,5.454545454545454,54.0,66.0,7.0364969990284205,4.498078342114271,7.0364969990284205,0.20775158400057014,-3.9764509228430236,1.8124206576312778,189f4e610a554dac,False,False
X,deriv=1e-05_boundary=2e-06_amp=8e-05_disc=0.5,boundary,0.1,False,46,2500,two_phase,1000,1500,0.9976062772732339,1e-05,2.0000000000000003e-06,8e-05,0.5,40.0,0.9983780861060273,1500,False,1686.2010447978973,0.998274894522946,0.9973881028303718,0.00028443477376557616,0.0009930042612917855,0.9983805118454954,0.001719171102835724,0.002607038789861127,0.00010561732254932288,20.386578543922553,1.0988814366022153,8.282060276826753,4.60353283389394,8.282060276826753,0.4545454545454545,0.38720538720538716,0.4545454545454545,tra,29.999999999999996,20.909090909090907,29.999999999999996,-10.909090909090908,10.0,-24.545454545454543,5.454545454545454,54.0,66.0,6.538785546934096,4.413748813456997,6.538785546934096,1.3081804021030614,-5.08299183554306,2.3167692960542663,1e28e99a2cb1663d,False,False
