gate,n_c,trained,F_pedersen,F_old_plus_d,F_delta,L1,unitarity_err_2x2,basis_orthonormality_err
I,18,False,0.9995242552951691,0.9996827740458597,0.00015851875069061716,0.00047555625207218455,0.0007406666315633662,2.482534153247273e-16
X,18,False,0.9939273043264572,0.9959458680669645,0.002018563740507351,0.006055691221522386,0.009903417872056135,2.482534153247273e-16
Y,18,False,0.9963681775823142,0.9975774004935696,0.0012092229112553587,0.0036276687337660762,0.005513108383619164,2.482534153247273e-16
Z,18,False,0.9992392056828773,0.9994927578846474,0.00025355220177014637,0.0007606566053102171,0.0013283435958007194,2.482534153247273e-16
H,18,False,0.9981774293733469,0.9987841708715545,0.000606741498207608,0.001820224494622824,0.0026573896884400264,2.482534153247273e-16
T,18,False,0.9997902420446209,0.9998599521902894,6.971014566858891e-05,0.00020913043700576672,0.00036127831559586143,2.482534153247273e-16
I,20,False,0.9995242335981517,0.9996827595808832,0.00015852598273147223,0.00047557794819430566,0.0007407073464592873,2.482534153247273e-16
X,20,False,0.9966023180400426,0.9977311267629104,0.0011288087228678023,0.003386426168603407,0.0049908046094982355,2.482534153247273e-16
Y,20,False,0.9974011765260329,0.9982660765793465,0.0008649000533136331,0.002594700159940455,0.003945756469049718,2.482534153247273e-16
Z,20,False,0.9992392053417921,0.9994927576570166,0.0002535523152245034,0.0007606569456735102,0.0013283442680103762,2.482534153247273e-16
H,20,False,0.9982508357528387,0.998833224216153,0.0005823884633142651,0.0017471653899423512,0.0026697335489285815,2.482534153247273e-16
T,20,False,0.9997902210587695,0.999859938201002,6.971714223258374e-05,0.00020915142669775122,0.00036128557023675537,2.482534153247273e-16
I,22,True,0.9995242331493017,0.9996827592816278,0.0001585261323260312,0.0004755783969782046,0.0007407076568478233,2.220446049250313e-16
X,22,True,0.997291670793739,0.9981910433837841,0.0008993725900450222,0.0026981177701348447,0.0038559452819301827,2.220446049250313e-16
Y,22,True,0.9976282655322977,0.9984174840447076,0.0007892185124099838,0.0023676555372300623,0.0035836550211142165,2.220446049250313e-16
Z,22,True,0.9992392049186577,0.9994927573749292,0.0002535524562714553,0.0007606573688143659,0.0013283444014923298,2.220446049250313e-16
H,22,True,0.9983111117347122,0.9988734191494194,0.0005623074147071971,0.0016869222441219245,0.002634262001390387,2.220446049250313e-16
T,22,True,0.9997902206678738,0.9998599379404647,6.971727259086347e-05,0.0002091518177720353,0.0003612863406123725,2.220446049250313e-16
I,24,True,0.9995242331471837,0.9996827592802161,0.00015852613303235508,0.0004755783990973983,0.0007407076608304989,0.0
X,24,True,0.9974093384717498,0.9982695202963621,0.0008601818246122273,0.0025805454738367928,0.0036727855449397023,0.0
Y,24,True,0.9976475968698919,0.9984303770453001,0.0007827801754082264,0.002348340526224346,0.0035505445667439947,0.0
Z,24,True,0.9992392049102549,0.9994927573693264,0.0002535524590715488,0.0007606573772144243,0.001328344418037948,0.0
H,24,True,0.9983294308755556,0.9988856296860874,0.0005561988105318161,0.0016685964315957813,0.002617622420491172,0.0
T,24,True,0.9997902206629719,0.9998599379371956,6.971727422377949e-05,0.00020915182267122745,0.00036128634232033527,0.0
I,26,True,0.9995242331471944,0.9996827592802232,0.00015852613302880236,0.0004755783990868512,0.0007407076608063637,2.220446049250313e-16
X,26,True,0.9974147196525337,0.9982731128939862,0.0008583932414525375,0.0025751797243576124,0.003663668439068983,2.220446049250313e-16
Y,26,True,0.9976495764366561,0.9984316982057404,0.0007821217690843207,0.0023463653072530732,0.003546850377818346,2.220446049250313e-16
Z,26,True,0.9992392049102566,0.9994927573693276,0.00025355245907099366,0.0007606573772127589,0.0013283444180214841,2.220446049250313e-16
H,26,True,0.9983310067406705,0.9988866799339052,0.0005556731932346848,0.0016670195797039433,0.002616481263828668,2.220446049250313e-16
T,26,True,0.9997902206629661,0.9998599379371917,6.971727422566687e-05,0.00020915182267677856,0.00036128634234921234,2.220446049250313e-16
I,28,False,0.9995242331471385,0.9996827592801859,0.0001585261330474541,0.0004755783991428064,0.0007407076608885176,3.1401849173675503e-16
X,28,False,0.9974119007656733,0.9982712342475301,0.0008593334818567389,0.0025780004455696615,0.003667864071183969,3.1401849173675503e-16
Y,28,False,0.9976500043636113,0.9984319835444605,0.0007819791808492127,0.002345937542547638,0.0035460395052695154,3.1401849173675503e-16
Z,28,False,0.999239204910264,0.9994927573693323,0.00025355245906832913,0.0007606573772052094,0.0013283444180265639,3.1401849173675503e-16
