pulse_set,gate,n_c,path,F_pedersen,L1,F_coh,unitarity_err_2x2,decision_threshold,retrain_required,decision
main,I,22,pulses/u_I_main.npy,0.9995242331493017,0.0004755783969782046,0.9995241389224387,0.0007407076568478233,0.99,False,HOLD
main,X,22,pulses/u_X_main.npy,0.997291670793739,0.0026981177701348447,0.9972865650756821,0.0038559452819301827,0.99,False,HOLD
main,Y,22,pulses/u_Y_main.npy,0.9976282655322977,0.0023676555372300623,0.9976262260670664,0.0035836550211142165,0.99,False,HOLD
main,Z,22,pulses/u_Z_main.npy,0.9992392049186577,0.0007606573688143659,0.9992391360623916,0.0013283444014923298,0.99,False,HOLD
main,H,22,pulses/u_H_main.npy,0.9983111117347122,0.0016869222441219245,0.9983101287241243,0.002634262001390387,0.99,False,HOLD
main,T,22,pulses/u_T_main.npy,0.9997902206678738,0.0002091518177720353,0.9997899069107007,0.0003612863406123725,0.99,False,HOLD
main,I,24,pulses/u_I_main.npy,0.9995242331471837,0.0004755783990973983,0.999524138920321,0.0007407076608304989,0.99,False,HOLD
main,X,24,pulses/u_X_main.npy,0.9974093384717498,0.0025805454738367928,0.9974042804445479,0.0036727855449397023,0.99,False,HOLD
main,Y,24,pulses/u_Y_main.npy,0.9976475968698919,0.002348340526224346,0.9976455655679586,0.0035505445667439947,0.99,False,HOLD
main,Z,24,pulses/u_Z_main.npy,0.9992392049102549,0.0007606573772144243,0.999239136053985,0.001328344418037948,0.99,False,HOLD
main,H,24,pulses/u_H_main.npy,0.9983294308755556,0.0016685964315957813,0.9983284445291258,0.002617622420491172,0.99,False,HOLD
main,T,24,pulses/u_T_main.npy,0.9997902206629719,0.00020915182267122745,0.9997899069057983,0.00036128634232033527,0.99,False,HOLD
main,I,26,pulses/u_I_main.npy,0.9995242331471944,0.0004755783990868512,0.9995241389203279,0.0007407076608063637,0.99,False,HOLD
main,X,26,pulses/u_X_main.npy,0.9974147196525337,0.0025751797243576124,0.9974096693409887,0.003663668439068983,0.99,False,HOLD
main,Y,26,pulses/u_Y_main.npy,0.9976495764366561,0.0023463653072530732,0.9976475473086124,0.003546850377818346,0.99,False,HOLD
main,Z,26,pulses/u_Z_main.npy,0.9992392049102566,0.0007606573772127589,0.9992391360539845,0.0013283444180214841,0.99,False,HOLD
main,H,26,pulses/u_H_main.npy,0.9983310067406705,0.0016670195797039433,0.9983300199008514,0.002616481263828668,0.99,False,HOLD
main,T,26,pulses/u_T_main.npy,0.9997902206629661,0.00020915182267677856,0.9997899069057892,0.00036128634234921234,0.99,False,HOLD
