gate,n_c,input_name,group,is_code_input,counts_for_L2,P_logical_initial,P_logical,P_g_even_nonlogical,P_g_odd,P_e_even,P_e_odd,P_trunc_edge,partition_sum,P_target,leaked_mass
enc,24,"|e,0>",A,False,False,0.0,0.9965912331807643,0.001093777335354762,0.0012787471707230947,0.000410076691071883,0.0006261656220907233,5.224011053556741e-11,1.0000000000000047,,
enc,24,"|e,1>",A,False,True,0.0,1.0515095034939133e-05,0.6214980016534709,0.21485737332452767,0.09252900435895443,0.07110510556802348,2.203383077828951e-09,1.0000000000000113,,
enc,24,"|e,2>",A,False,True,0.0,4.12730642468325e-05,0.20630472502340785,0.1341002282048667,0.5535615380400153,0.10599223566747172,5.953843824697227e-08,1.0000000000000084,,
enc,24,"|g,1>",B,False,True,0.0,1.785816703605038e-05,0.4855976962473529,0.1935354419256656,0.13604695359728247,0.18480205006273043,2.7668497897042583e-08,1.0000000000000675,,
enc,24,"|g,3>",B,False,True,0.0,0.0002410285567440321,0.30360568463370924,0.29053584641202773,0.23723955386810452,0.16837788652946767,4.693587314810401e-06,1.000000000000053,,
enc,24,"|g,5>",B,False,True,0.0,0.00028262660257332014,0.2719401051341854,0.3228306425293941,0.17497483897009453,0.22997178676379207,0.00012379229556149708,1.0000000000000393,,
enc,24,"|g,8>_orth",C,False,True,1.1605143610888812e-35,0.009150870188538633,0.1634958140449935,0.4294931103700337,0.11296680581774118,0.28489339957874144,0.008051361848964359,1.0000000000000484,,
enc,24,"|g,6>_orth",C,False,True,1.1467779713135065e-36,0.00041724821328067123,0.24865549396054865,0.28074323317424255,0.3127524700096318,0.15743155464233055,0.0008350329887824857,1.0000000000000342,,
enc,24,"|g,4>_orth",C,False,True,6.538696206366926e-34,0.7706941398396938,0.05105512558759806,0.05812445224804984,0.057667544683742133,0.062458737640929685,0.0001407014967553154,1.0000000000000135,,
enc,24,a|+Z_L>,E,False,False,0.0,9.306905737154073e-05,0.3044512358802336,0.28537591597022527,0.24356837269351528,0.16651140639870282,7.200319514625085e-05,1.0000000000000486,,
enc,24,a|-Z_L>,E,False,False,0.0,6.578036971984423e-05,0.3431961043235646,0.2645875504920006,0.24249570371913143,0.14965486109564252,0.0001694140889093604,1.000000000000059,,
enc,24,"|g,0>",code_comp,True,,0.22032086541390994,0.9972167409755802,0.0006379201543839086,0.001180728746266928,0.0004970221727483473,0.00046758795103404453,9.821093892012372e-10,1.0000000000000135,0.9972167409755802,0.002783259024419782
enc,24,"|e,0>",code_comp,True,,0.0,0.9965912331807643,0.001093777335354762,0.0012787471707230947,0.000410076691071883,0.0006261656220907233,5.224011053556741e-11,1.0000000000000047,0.9965912331807643,0.0034087668192357423
dec,24,"|e,0>",A,False,True,0.0,0.01729936295413362,0.06643606269930381,0.1271519940810857,0.4642243203256034,0.3248882599398858,7.173517856753424e-06,1.0000000000000124,,
dec,24,"|e,1>",A,False,True,0.0,0.04601300571684471,0.11966897802903118,0.17881590057696087,0.3482444541638736,0.3072576615133481,0.00030452739035956766,1.0000000000000586,,
dec,24,"|e,2>",A,False,True,0.0,0.14355989553452242,0.15981819379603657,0.303290238705066,0.12772627693722638,0.2656053950272163,0.0014485624462148021,1.0000000000000677,,
dec,24,"|g,1>",B,False,True,0.0,0.0385319742399591,0.3359641851022084,0.42474005160612693,0.09356177085326488,0.10720201819851104,0.0004468717097353876,1.0000000000000704,,
dec,24,"|g,3>",B,False,True,0.0,0.07280988498001033,0.15296500326306828,0.3553113987939549,0.19060619148441238,0.22830752147858727,0.0014965455574131221,1.000000000000033,,
dec,24,"|g,5>",B,False,True,0.0,0.014817222724121304,0.14072603043660745,0.3108274472660754,0.2526464894445095,0.2809828101287672,0.01111265154498923,1.0000000000000808,,
dec,24,"|g,8>_orth",C,False,True,1.1605143610888812e-35,0.1152729057439615,0.14175752275802617,0.40828923442021936,0.14369774310129002,0.19098259397658046,0.04513028626712239,1.0000000000000775,,
dec,24,"|g,6>_orth",C,False,True,1.1467779713135065e-36,0.1196012981650457,0.11545778250869557,0.18873186525405833,0.1787401389359013,0.3974689151363863,0.001601101426118159,1.0000000000000873,,
dec,24,"|g,4>_orth",C,False,True,6.538696206366926e-34,0.12482178761843392,0.10727114864408273,0.37665669644590605,0.14078364280044842,0.25046672449117413,0.00010437138342212223,1.0000000000000453,,
dec,24,a|+Z_L>,E,False,False,0.0,0.061105255854316524,0.1702203219687373,0.3979891786886233,0.1673733705107328,0.20331187297763256,0.009898810121567281,1.0000000000000426,,
dec,24,a|-Z_L>,E,False,False,0.0,0.005583658616512449,0.29243225203310114,0.31526947371619884,0.17305596859618785,0.2136586470380657,0.00891591956217577,1.000000000000066,,
dec,24,"|+Z_L,g>",code,True,,1.0,0.21268682513262227,0.7852778306333557,0.0007639597768927756,0.0005250740008114711,0.0007463104563693264,0.0005613850471254605,1.0000000000000515,0.9973039489965092,0.002696051003490796
dec,24,"|-Z_L,g>",code,True,,1.0,0.00021711562440891545,0.0003002092122685584,0.0003134850600013227,0.9989324580689062,0.00023673203443448868,0.00018305183463948358,1.0000000000000195,0.9986933849903887,0.0013066150096112672
X,24,"|e,0>",A,False,True,0.0,1.2836382485027017e-05,0.11255557349034177,0.09067004449824469,0.42379038756623333,0.37297115806270675,2.1469206051807842e-07,1.0000000000000115,,
X,24,"|e,1>",A,False,True,0.0,7.639659217787021e-05,0.24247859556490023,0.3721465702848944,0.24822400434431016,0.1370744332137177,1.606050874058871e-06,1.0000000000000004,,
X,24,"|e,2>",A,False,True,0.0,2.2899740961341246e-05,0.04849025476802635,0.2790389497754363,0.5316177952492379,0.1408301004663659,2.701879455799019e-07,1.0000000000000278,,
X,24,"|g,1>",B,False,True,0.0,0.0001153672472460672,0.24303649063867208,0.20574797305343162,0.3478981436332599,0.2032020254274261,2.158999378630976e-06,1.0000000000000357,,
X,24,"|g,3>",B,False,True,0.0,2.9014253609184302e-05,0.2687524285825295,0.31906028045568396,0.2277761366035241,0.1843821401046991,1.1227820975600955e-05,1.000000000000046,,
X,24,"|g,5>",B,False,True,0.0,6.230428440234166e-05,0.06866743540664853,0.13311737022671158,0.3108658875868435,0.4872870024954433,8.132240127389927e-05,1.0000000000000493,,
X,24,"|g,8>_orth",C,False,True,1.1605143610888812e-35,0.00012740486792162025,0.2635989798315627,0.07084091173612514,0.3410827656047084,0.32434993795975264,0.0032401209675317066,1.0000000000000706,,
X,24,"|g,6>_orth",C,False,True,1.1467779713135065e-36,0.00024291138910652782,0.18510236969129087,0.2764889859350429,0.3277078684926935,0.210457864491894,0.0002417070216416527,1.0000000000000278,,
X,24,"|g,4>_orth",C,False,True,6.538696206366926e-34,0.00031025347311320695,0.1934634539879244,0.38537261836940145,0.08265516943842,0.33819850473114477,1.4967909792337347e-05,1.0000000000000038,,
X,24,a|+Z_L>,E,False,False,0.0,7.954068650156268e-05,0.25917271705910394,0.3033866057312055,0.24784749941248937,0.1895136371107538,0.00023370261022649647,1.0000000000000542,,
