gate,n_c,L1,L2,dominant_leak_destination,dominant_leak_label,leak_P_g_even_nonlogical,leak_P_g_odd,leak_P_e_even,leak_P_e_odd,max_P_logical_outside,flag,L1_E,L2_E_to_C,F_ET,err_dominant_destination,M_E_offdiag,err_P_g_even_nonlogical,err_P_g_odd,err_P_e_even,err_P_e_odd,coarse_destination_class,destination_stable,coarse_destination_stable,L1_E_spread,L1_E_plateau_spread
enc,24,0.001143545992283057,0.09725052367896415,P_g_even_nonlogical,"g, even photon (outside code / radial)",0.0009299884886931897,0.0003510597269882484,0.0004837748800303364,0.0005222688890405814,0.7697239654876118,watch+seepage_note,0.9185276060053943,7.4310457083703e-05,,P_g_even_nonlogical,0.22809722874962857,0.6871049242039802,0.6065108401649438,0.392447982896867,0.3137876318201916,,,,,
dec,24,0.003617338215005317,0.09623468347475052,P_g_even_nonlogical,"g, even photon (outside code / radial)",0.002613802022006698,0.0026081813031835445,0.0008821344998603592,0.0011305586049782275,0.34971629008572847,watch+seepage_note,0.925931285199573,0.06749835550591375,,P_g_odd,0.3061564009366247,0.36687769513095864,0.5073050252094917,0.4855950481271134,0.5052255205206978,,,,,
X,24,0.0017816249600359768,2.3481766166588765e-05,P_g_even_nonlogical,"g, even photon (outside code / radial)",0.001356226270907035,0.0013370659447924352,0.0004394016175479114,0.0004305560869057397,6.558490518295848e-05,document,0.9246684735044726,3.0459634516646203e-05,0.060611442391219794,P_e_even,0.24549487464729583,0.4887742093011854,0.30189854802950644,0.6254373807917295,0.5838289426086039,,,,,
Y,24,0.0012677311453948015,1.777679361085302e-05,P_g_odd,"g, odd photon (wrong parity)",0.0008188349962440222,0.0008461298339041844,0.0003271384947049258,0.0005433589660838066,6.0161584469588174e-05,watch,0.865717425595505,1.77813867747274e-05,0.05509833917624766,P_g_odd,0.37925023006136777,0.4023239974542746,0.6116511819206736,0.5392667634290373,0.4467224944225995,,,,,
H,24,0.0016975226431508172,2.4179241778922594e-05,P_g_even_nonlogical,"g, even photon (outside code / radial)",0.0015654584424215079,0.001437344492311373,0.00019048084405982809,0.00020176150761844357,7.107737034585656e-05,document,0.8461680822874591,1.3488138652861292e-05,0.06606870334688966,P_g_odd,0.10591875103394273,0.2898457974345201,0.7560013258289879,0.39557022299037725,0.5585556774688898,,,,,
Z,24,0.0005788653944009958,5.0240715166732035e-06,P_e_even,"transmon excited, even photon",0.00023704658401813017,2.6325007233027595e-05,0.0008618746888209542,3.248450888202836e-05,1.8293695320272228e-05,watch,0.23463103929225482,3.5386744947692013e-06,0.33272339404942713,P_g_odd,0.0002316785488377057,1.7357718450436547e-05,1.6013393436942538,0.0012105173718574033,0.3974257038666711,,,,,
T,24,0.00021035666249558105,2.6677971021993894e-06,P_g_even_nonlogical,"g, even photon (outside code / radial)",0.00041323701666562407,2.6674150396846814e-06,2.590344880289751e-06,2.2185486425673614e-06,2.1202338439058054e-05,document,0.04834348247351694,3.494190883726333e-07,0.9381925329040562,P_g_odd,0.00018012385926551152,3.1936494265550778e-06,1.918450295517718,0.0005199987918058505,0.08102581320309035,,,,,
I,24,0.0004930575993347119,8.792397561863246e-07,P_g_even_nonlogical,"g, even photon (outside code / radial)",0.0009796341358262461,4.2137755536508063e-07,5.58594272600505e-06,4.737427710508385e-07,3.752465567072745e-06,document,0.08960100892470924,1.1197554647736112e-07,0.9101469273037193,P_g_odd,1.9322622761120846e-06,3.775815520488119e-07,1.83575551243266,5.8905835251977594e-05,0.16418498019971905,,,,,
dec,22,0.0036145576716470895,0.09620710023286096,P_g_odd,,,,,,,dangerous,0.925919249946417,0.06754729576711602,,,,,,,,g_odd_parity,False,False,1.2035253156073011e-05,3.9203123713971166e-07
dec,26,0.0036174683822757236,0.09621521558294557,P_g_even_nonlogical,,,,,,,watch+seepage_note,0.9259308931683359,0.06749584316903892,,,,,,,,g_even_radial,False,False,1.2035253156073011e-05,3.9203123713971166e-07
X,22,0.0017897304093906774,2.3511890568879356e-05,P_g_even_nonlogical,,,,,,,document,0.9246517446252461,3.0432813560347287e-05,0.0606247262615904,,,,,,,g_even_radial,True,True,1.672887922643529e-05,1.3949463828488717e-07
X,26,0.0017824053206840773,2.3472498070343664e-05,P_g_even_nonlogical,,,,,,,document,0.9246683340098343,3.044571143909243e-05,0.06061225971853895,,,,,,,g_even_radial,True,True,1.672887922643529e-05,1.3949463828488717e-07
H,22,0.0016975462087962523,2.4179290404577928e-05,P_g_even_nonlogical,,,,,,,document,0.8461680875906606,1.3488360174216907e-05,0.06606871021963147,,,,,,,g_even_radial,True,True,5.303201544570868e-09,9.410577872515091e-10
H,26,0.0016975238713714536,2.4179252890253748e-05,P_g_even_nonlogical,,,,,,,document,0.8461680832285169,1.3488122763277632e-05,0.06606870316955465,,,,,,,g_even_radial,True,True,5.303201544570868e-09,9.410577872515091e-10
