Gate,Probe,Group,P_logical_initial,P_logical,P_g_even_nonlogical,P_g_odd,P_e_even,P_e_odd
enc,"|e,0>",A,0.0,0.9965912331807643,0.001093777335354762,0.0012787471707230947,0.000410076691071883,0.0006261656220907233
enc,"|e,1>",A,0.0,1.0515095034939133e-05,0.6214980016534709,0.21485737332452767,0.09252900435895443,0.07110510556802348
enc,"|e,2>",A,0.0,4.12730642468325e-05,0.20630472502340785,0.1341002282048667,0.5535615380400153,0.10599223566747172
enc,"|g,1>",B,0.0,1.785816703605038e-05,0.4855976962473529,0.1935354419256656,0.13604695359728247,0.18480205006273043
enc,"|g,3>",B,0.0,0.0002410285567440321,0.30360568463370924,0.29053584641202773,0.23723955386810452,0.16837788652946767
enc,"|g,5>",B,0.0,0.00028262660257332014,0.2719401051341854,0.3228306425293941,0.17497483897009453,0.22997178676379207
enc,"|g,8>_orth",C,1.1605143610888812e-35,0.009150870188538633,0.1634958140449935,0.4294931103700337,0.11296680581774118,0.28489339957874144
enc,"|g,6>_orth",C,1.1467779713135065e-36,0.00041724821328067123,0.24865549396054865,0.28074323317424255,0.3127524700096318,0.15743155464233055
enc,"|g,4>_orth",C,6.538696206366926e-34,0.7706941398396938,0.05105512558759806,0.05812445224804984,0.057667544683742133,0.062458737640929685
dec,"|e,0>",A,0.0,0.01729936295413362,0.06643606269930381,0.1271519940810857,0.4642243203256034,0.3248882599398858
dec,"|e,1>",A,0.0,0.04601300571684471,0.11966897802903118,0.17881590057696087,0.3482444541638736,0.3072576615133481
dec,"|e,2>",A,0.0,0.14355989553452242,0.15981819379603657,0.303290238705066,0.12772627693722638,0.2656053950272163
dec,"|g,1>",B,0.0,0.0385319742399591,0.3359641851022084,0.42474005160612693,0.09356177085326488,0.10720201819851104
dec,"|g,3>",B,0.0,0.07280988498001033,0.15296500326306828,0.3553113987939549,0.19060619148441238,0.22830752147858727
dec,"|g,5>",B,0.0,0.014817222724121304,0.14072603043660745,0.3108274472660754,0.2526464894445095,0.2809828101287672
dec,"|g,8>_orth",C,1.1605143610888812e-35,0.1152729057439615,0.14175752275802617,0.40828923442021936,0.14369774310129002,0.19098259397658046
dec,"|g,6>_orth",C,1.1467779713135065e-36,0.1196012981650457,0.11545778250869557,0.18873186525405833,0.1787401389359013,0.3974689151363863
dec,"|g,4>_orth",C,6.538696206366926e-34,0.12482178761843392,0.10727114864408273,0.37665669644590605,0.14078364280044842,0.25046672449117413
X,"|e,0>",A,0.0,1.2836382485027017e-05,0.11255557349034177,0.09067004449824469,0.42379038756623333,0.37297115806270675
X,"|e,1>",A,0.0,7.639659217787021e-05,0.24247859556490023,0.3721465702848944,0.24822400434431016,0.1370744332137177
X,"|e,2>",A,0.0,2.2899740961341246e-05,0.04849025476802635,0.2790389497754363,0.5316177952492379,0.1408301004663659
X,"|g,1>",B,0.0,0.0001153672472460672,0.24303649063867208,0.20574797305343162,0.3478981436332599,0.2032020254274261
X,"|g,3>",B,0.0,2.9014253609184302e-05,0.2687524285825295,0.31906028045568396,0.2277761366035241,0.1843821401046991
X,"|g,5>",B,0.0,6.230428440234166e-05,0.06866743540664853,0.13311737022671158,0.3108658875868435,0.4872870024954433
X,"|g,8>_orth",C,1.1605143610888812e-35,0.00012740486792162025,0.2635989798315627,0.07084091173612514,0.3410827656047084,0.32434993795975264
X,"|g,6>_orth",C,1.1467779713135065e-36,0.00024291138910652782,0.18510236969129087,0.2764889859350429,0.3277078684926935,0.210457864491894
